date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
10:33:44	26371/26371	---M-Z	200	added ('OK')	text/html	etag:%226703-59b2765fde5a3-gzip%22	https://themesbrand.com/agroxa/blue-2/pages-title-2.html	C:/xampp/htdocs/templates/templates1/e-vote/themesbrand.com/agroxa/blue-2/pages-title-2.html	(from )
10:33:44	290/290	---M--	404	error ('Not%20Found')	text/html	date:Wed,%2029%20Jan%202020%2003:33:43%20GMT	https://themesbrand.com/robots.txt		(from )
10:33:45	104682/104682	---M--	200	added ('OK')	image/vnd.microsoft.icon	etag:%22198ea-59b2765fc9d82%22	https://themesbrand.com/agroxa/blue-2/assets/images/favicon.ico	C:/xampp/htdocs/templates/templates1/e-vote/themesbrand.com/agroxa/blue-2/assets/images/favicon.ico	(from https://themesbrand.com/agroxa/blue-2/pages-title-2.html)
10:33:46	433/433	---M-Z	200	added ('OK')	text/css	etag:%221b1-59b276623211a-gzip%22	https://themesbrand.com/agroxa/plugins/morris/morris.css	C:/xampp/htdocs/templates/templates1/e-vote/themesbrand.com/agroxa/plugins/morris/morris.css	(from https://themesbrand.com/agroxa/blue-2/pages-title-2.html)
10:33:46	216741/216741	---M-Z	200	added ('OK')	text/css	etag:%2234ea5-59b2765f20e52-gzip%22	https://themesbrand.com/agroxa/blue-2/assets/css/icons.css	C:/xampp/htdocs/templates/templates1/e-vote/themesbrand.com/agroxa/blue-2/assets/css/icons.css	(from https://themesbrand.com/agroxa/blue-2/pages-title-2.html)
10:33:47	140936/140936	---M-Z	200	added ('OK')	text/css	etag:%2222688-59b2765f20e52-gzip%22	https://themesbrand.com/agroxa/blue-2/assets/css/bootstrap.min.css	C:/xampp/htdocs/templates/templates1/e-vote/themesbrand.com/agroxa/blue-2/assets/css/bootstrap.min.css	(from https://themesbrand.com/agroxa/blue-2/pages-title-2.html)
10:33:47	55005/55005	---M-Z	200	added ('OK')	text/css	etag:%22d6dd-59b2765f21df2-gzip%22	https://themesbrand.com/agroxa/blue-2/assets/css/style.css	C:/xampp/htdocs/templates/templates1/e-vote/themesbrand.com/agroxa/blue-2/assets/css/style.css	(from https://themesbrand.com/agroxa/blue-2/pages-title-2.html)
10:33:47	26263/26263	---M-Z	200	added ('OK')	text/html	etag:%226697-59b2765fdd603-gzip%22	https://themesbrand.com/agroxa/blue-2/index.html	C:/xampp/htdocs/templates/templates1/e-vote/themesbrand.com/agroxa/blue-2/index.html	(from https://themesbrand.com/agroxa/blue-2/pages-title-2.html)
10:33:48	1459/1459	---M--	200	added ('OK')	image/png	etag:%225b3-59b2765fc9d82%22	https://themesbrand.com/agroxa/blue-2/assets/images/logo-sm-light.png	C:/xampp/htdocs/templates/templates1/e-vote/themesbrand.com/agroxa/blue-2/assets/images/logo-sm-light.png	(from https://themesbrand.com/agroxa/blue-2/pages-title-2.html)
10:33:48	2955/2955	---M--	200	added ('OK')	image/png	etag:%22b8b-59b2765fc9d82%22	https://themesbrand.com/agroxa/blue-2/assets/images/logo-light.png	C:/xampp/htdocs/templates/templates1/e-vote/themesbrand.com/agroxa/blue-2/assets/images/logo-light.png	(from https://themesbrand.com/agroxa/blue-2/pages-title-2.html)
10:33:48	5566/5566	---M--	200	added ('OK')	image/jpeg	etag:%2215be-59b2765fcbcc2%22	https://themesbrand.com/agroxa/blue-2/assets/images/users/user-4.jpg	C:/xampp/htdocs/templates/templates1/e-vote/themesbrand.com/agroxa/blue-2/assets/images/users/user-4.jpg	(from https://themesbrand.com/agroxa/blue-2/pages-title-2.html)
10:33:48	16236/16236	---M-Z	200	added ('OK')	text/html	etag:%223f6c-59b2765fdf544-gzip%22	https://themesbrand.com/agroxa/blue-2/ui-alerts.html	C:/xampp/htdocs/templates/templates1/e-vote/themesbrand.com/agroxa/blue-2/ui-alerts.html	(from https://themesbrand.com/agroxa/blue-2/pages-title-2.html)
10:33:48	21549/21549	---M-Z	200	added ('OK')	text/html	etag:%22542d-59b2765fdf544-gzip%22	https://themesbrand.com/agroxa/blue-2/ui-buttons.html	C:/xampp/htdocs/templates/templates1/e-vote/themesbrand.com/agroxa/blue-2/ui-buttons.html	(from https://themesbrand.com/agroxa/blue-2/pages-title-2.html)
10:33:48	12786/12786	---M-Z	200	added ('OK')	text/html	etag:%2231f2-59b2765fdf544-gzip%22	https://themesbrand.com/agroxa/blue-2/ui-badge.html	C:/xampp/htdocs/templates/templates1/e-vote/themesbrand.com/agroxa/blue-2/ui-badge.html	(from https://themesbrand.com/agroxa/blue-2/pages-title-2.html)
10:33:49	20859/20859	---M-Z	200	added ('OK')	text/html	etag:%22517b-59b2765fdf544-gzip%22	https://themesbrand.com/agroxa/blue-2/ui-cards.html	C:/xampp/htdocs/templates/templates1/e-vote/themesbrand.com/agroxa/blue-2/ui-cards.html	(from https://themesbrand.com/agroxa/blue-2/pages-title-2.html)
10:33:49	15798/15798	---M-Z	200	added ('OK')	text/html	etag:%223db6-59b2765fe04e4-gzip%22	https://themesbrand.com/agroxa/blue-2/ui-carousel.html	C:/xampp/htdocs/templates/templates1/e-vote/themesbrand.com/agroxa/blue-2/ui-carousel.html	(from https://themesbrand.com/agroxa/blue-2/pages-title-2.html)
10:33:49	27294/27294	---M-Z	200	added ('OK')	text/html	etag:%226a9e-59b2765fe04e4-gzip%22	https://themesbrand.com/agroxa/blue-2/ui-dropdowns.html	C:/xampp/htdocs/templates/templates1/e-vote/themesbrand.com/agroxa/blue-2/ui-dropdowns.html	(from https://themesbrand.com/agroxa/blue-2/pages-title-2.html)
10:33:49	12386/12386	---M-Z	200	added ('OK')	text/html	etag:%223062-59b2765fe04e4-gzip%22	https://themesbrand.com/agroxa/blue-2/ui-grid.html	C:/xampp/htdocs/templates/templates1/e-vote/themesbrand.com/agroxa/blue-2/ui-grid.html	(from https://themesbrand.com/agroxa/blue-2/pages-title-2.html)
10:33:50	16787/16787	---M-Z	200	added ('OK')	text/html	etag:%224193-59b2765fe04e4-gzip%22	https://themesbrand.com/agroxa/blue-2/ui-images.html	C:/xampp/htdocs/templates/templates1/e-vote/themesbrand.com/agroxa/blue-2/ui-images.html	(from https://themesbrand.com/agroxa/blue-2/pages-title-2.html)
10:33:50	18264/18264	---M-Z	200	added ('OK')	text/html	etag:%224758-59b2765fe1484-gzip%22	https://themesbrand.com/agroxa/blue-2/ui-modals.html	C:/xampp/htdocs/templates/templates1/e-vote/themesbrand.com/agroxa/blue-2/ui-modals.html	(from https://themesbrand.com/agroxa/blue-2/pages-title-2.html)
10:33:50	15583/15583	---M-Z	200	added ('OK')	text/html	etag:%223cdf-59b2765fe1484-gzip%22	https://themesbrand.com/agroxa/blue-2/ui-pagination.html	C:/xampp/htdocs/templates/templates1/e-vote/themesbrand.com/agroxa/blue-2/ui-pagination.html	(from https://themesbrand.com/agroxa/blue-2/pages-title-2.html)
10:33:50	13081/13081	---M-Z	200	added ('OK')	text/html	etag:%223319-59b2765fe1484-gzip%22	https://themesbrand.com/agroxa/blue-2/ui-popover-tooltips.html	C:/xampp/htdocs/templates/templates1/e-vote/themesbrand.com/agroxa/blue-2/ui-popover-tooltips.html	(from https://themesbrand.com/agroxa/blue-2/pages-title-2.html)
10:33:51	16616/16616	---M-Z	200	added ('OK')	text/html	etag:%2240e8-59b2765fe1484-gzip%22	https://themesbrand.com/agroxa/blue-2/ui-progressbars.html	C:/xampp/htdocs/templates/templates1/e-vote/themesbrand.com/agroxa/blue-2/ui-progressbars.html	(from https://themesbrand.com/agroxa/blue-2/pages-title-2.html)
10:33:51	28015/28015	---M-Z	200	added ('OK')	text/html	etag:%226d6f-59b2765fe1484-gzip%22	https://themesbrand.com/agroxa/blue-2/ui-tabs-accordions.html	C:/xampp/htdocs/templates/templates1/e-vote/themesbrand.com/agroxa/blue-2/ui-tabs-accordions.html	(from https://themesbrand.com/agroxa/blue-2/pages-title-2.html)
